Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
-24, 101950, 0.10, 41.00, 25.28, 0
-24, 101950, 0.05, 204.40, 25.16, 0
-24, 101945, 0.05, 188.00, 25.28, 0
-24, 101944, 0.00, 120.30, 25.28, 0
-24, 101942, 0.05, 325.90, 25.28, 0
-24, 101942, 0.10, 283.20, 25.39, 0
-23, 101941, 0.05, 298.90, 25.51, 0
-23, 101940, 0.05, 279.10, 25.75, 0
-23, 101938, 0.05, 351.10, 25.87, 0
-23, 101936, 0.05, 158.40, 26.95, 0
-23, 101934, 0.05, 118.50, 26.95, 0
0, 101955, 0.05, 348.10, 25.99, 0
0, 101946, 0.10, 186.40, 25.87, 0
0, 101942, 0.05, 116.30, 25.87, 0
1, 101940, 0.25, 176.00, 22.65, 0
1, 101932, 0.70, 8.70, 17.43, 0
3, 101917, 0.60, 351.80, 17.22, 0
4, 101902, 1.00, 0.60, 17.02, 0
4, 101893, 1.55, 32.10, 16.82, 0
5, 101885, 1.25, 17.40, 16.72, 0
6, 101878, 0.65, 59.50, 16.62, 0
7, 101868, 0.85, 64.40, 16.62, 0
7, 101859, 1.15, 52.10, 16.62, 0
8, 101850, 1.05, 21.30, 16.62, 0
10, 101831, 1.60, 30.00, 16.72, 0
11, 101812, 1.95, 22.40, 16.72, 0
13, 101794, 1.65, 28.10, 16.72, 0
14, 101782, 2.20, 27.90, 16.72, 0
15, 101770, 1.45, 43.00, 16.82, 0
16, 101758, 1.65, 35.50, 16.82, 0
17, 101745, 1.75, 32.10, 16.82, 0
18, 101732, 1.15, 49.10, 16.82, 0
19, 101720, 1.55, 37.50, 16.72, 0
20, 101711, 1.40, 27.40, 16.72, 0
20, 101702, 1.20, 27.90, 16.62, 0
21, 101694, 1.55, 24.00, 16.62, 0
21, 101692, 1.05, 22.20, 16.62, 0
21, 101691, 1.50, 19.80, 16.62, 0
21, 101690, 1.50, 37.20, 16.51, 0
22, 101681, 1.15, 54.10, 16.51, 0
23, 101673, 1.60, 48.10, 16.51, 0
23, 101666, 1.25, 36.80, 16.51, 0
25, 101651, 1.25, 32.60, 16.51, 0
26, 101637, 1.50, 36.90, 16.51, 0
27, 101624, 1.05, 34.50, 16.51, 0
28, 101611, 1.75, 24.40, 16.51, 0
29, 101596, 1.15, 37.90, 16.51, 0
30, 101582, 1.00, 30.50, 16.51, 0
31, 101578, 1.15, 47.90, 16.51, 0
31, 101574, 0.90, 51.80, 16.51, 0
31, 101570, 1.05, 41.80, 16.51, 0
32, 101555, 0.85, 36.40, 16.51, 0
34, 101541, 0.75, 31.90, 16.51, 0
35, 101528, 1.05, 37.60, 16.51, 0
36, 101514, 0.95, 41.20, 16.51, 0
37, 101500, 0.95, 47.90, 16.51, 0
38, 101486, 0.90, 38.60, 16.51, 0
39, 101482, 1.05, 37.90, 16.51, 0
39, 101479, 1.05, 39.10, 16.51, 0
39, 101476, 0.90, 17.30, 16.41, 0
39, 101473, 0.80, 33.60, 16.41, 0
40, 101470, 0.75, 41.20, 16.41, 0
40, 101468, 0.85, 36.90, 16.41, 0
41, 101448, 1.10, 50.50, 16.41, 0
43, 101429, 1.05, 41.50, 16.41, 0
45, 101410, 1.15, 40.80, 16.41, 0
45, 101408, 0.80, 32.80, 16.41, 0
45, 101406, 1.25, 29.70, 16.41, 0
45, 101404, 1.20, 52.80, 16.41, 0
46, 101395, 1.15, 36.60, 16.41, 0
47, 101386, 1.80, 28.70, 16.31, 0
47, 101378, 1.20, 47.00, 16.41, 0
48, 101364, 1.30, 22.20, 16.31, 0
50, 101350, 1.10, 40.10, 16.31, 0
51, 101336, 1.00, 35.80, 16.31, 0
52, 101323, 1.30, 32.60, 16.31, 0
53, 101310, 1.15, 64.60, 16.31, 0
54, 101298, 0.80, 43.30, 16.31, 0
55, 101289, 1.50, 39.80, 16.31, 0
55, 101286, 0.95, 20.20, 16.31, 0
56, 101275, 1.15, 43.90, 16.31, 0
57, 101264, 0.65, 47.70, 16.21, 0
58, 101254, 0.85, 34.90, 16.31, 0
59, 101238, 0.90, 42.30, 16.21, 0
60, 101223, 0.65, 46.80, 16.21, 0
61, 101208, 0.80, 61.20, 16.21, 0
62, 101205, 0.90, 62.80, 16.21, 0
62, 101202, 0.95, 52.10, 16.21, 0
62, 101200, 1.15, 53.60, 16.21, 0
63, 101193, 0.85, 46.80, 16.21, 0
63, 101187, 1.20, 56.80, 16.21, 0
64, 101182, 1.00, 63.90, 16.21, 0
66, 101151, 1.15, 47.20, 16.21, 0
67, 101136, 1.15, 44.90, 16.21, 0
68, 101125, 1.30, 33.80, 16.21, 0
69, 101114, 1.45, 47.70, 16.21, 0
70, 101104, 1.20, 37.50, 16.21, 0
71, 101097, 1.15, 49.80, 16.11, 0
71, 101090, 1.30, 22.60, 16.11, 0
72, 101084, 1.35, 29.20, 16.11, 0
73, 101067, 1.20, 34.70, 16.11, 0
75, 101050, 0.95, 58.90, 16.11, 0
76, 101034, 1.30, 66.90, 16.11, 0
76, 101029, 0.60, 46.70, 16.11, 0
77, 101024, 0.80, 51.50, 16.11, 0
77, 101020, 1.20, 54.40, 16.11, 0
78, 101012, 1.00, 48.00, 16.11, 0
78, 101005, 1.05, 67.30, 16.11, 0
79, 100998, 1.05, 64.00, 16.11, 0
80, 100989, 1.30, 53.80, 16.11, 0
81, 100978, 1.60, 48.30, 16.01, 0
81, 100968, 1.10, 38.80, 16.01, 0
83, 100952, 1.10, 51.40, 16.01, 0
84, 100937, 1.20, 27.40, 16.11, 0
85, 100922, 1.05, 38.50, 16.11, 0
86, 100916, 1.15, 58.30, 16.11, 0
86, 100911, 1.15, 43.80, 16.01, 0
87, 100906, 1.45, 62.40, 16.01, 0
87, 100903, 1.15, 67.70, 16.01, 0
87, 100900, 1.20, 64.30, 16.01, 0
87, 100898, 1.25, 52.20, 16.01, 0
88, 100885, 1.25, 36.00, 16.01, 0
89, 100872, 0.90, 41.20, 16.01, 0
90, 100860, 1.20, 55.70, 16.01, 0
91, 100858, 0.90, 47.00, 16.01, 0
91, 100857, 0.95, 104.10, 15.91, 0
91, 100856, 1.00, 54.60, 15.91, 0
92, 100835, 1.25, 45.10, 16.01, 0
94, 100815, 1.10, 65.70, 16.01, 0
96, 100796, 0.70, 30.40, 16.01, 0
105, 100802, 0.95, 51.50, 16.01, 0
106, 100797, 0.80, 35.80, 15.91, 0
106, 100788, 0.95, 57.80, 16.01, 0
107, 100776, 1.00, 67.20, 16.01, 0
108, 100765, 1.25, 38.00, 15.91, 0
109, 100754, 1.40, 56.00, 15.91, 0
110, 100750, 1.00, 50.60, 15.91, 0
110, 100746, 1.00, 41.00, 15.91, 0
110, 100742, 1.00, 62.30, 15.91, 0
110, 100739, 0.55, 33.00, 15.91, 0
111, 100736, 0.95, 37.10, 15.91, 0
111, 100734, 0.95, 45.10, 15.91, 0
112, 100720, 1.10, 40.70, 15.91, 0
113, 100707, 1.35, 40.60, 15.91, 0
114, 100694, 1.15, 39.70, 15.91, 0
115, 100686, 0.70, 69.90, 15.91, 0
116, 100672, 1.00, 53.50, 15.91, 0
117, 100658, 1.10, 39.60, 15.91, 0
117, 100656, 1.45, 42.90, 15.81, 0
117, 100655, 0.95, 47.70, 15.81, 0
118, 100654, 0.90, 49.70, 15.91, 0
