Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
8, 101811, 0.00, 41.00, 27.80, 0
8, 101810, 0.05, 237.40, 27.68, 0
9, 101792, 0.25, 21.50, 23.43, 0
11, 101775, 0.25, 26.80, 23.55, 0
12, 101758, 0.10, 46.30, 23.77, 0
14, 101734, 0.00, 236.60, 23.43, 0
15, 101727, 0.05, 245.50, 23.32, 0
15, 101720, 0.05, 134.20, 23.21, 0
16, 101714, 0.15, 269.10, 23.32, 0
18, 101692, 1.45, 264.80, 22.98, 0
20, 101667, 1.30, 262.80, 22.98, 0
22, 101642, 2.25, 271.30, 22.98, 0
24, 101619, 1.70, 268.30, 22.76, 0
26, 101596, 1.15, 280.00, 22.65, 0
27, 101574, 1.95, 282.30, 22.65, 0
28, 101565, 0.85, 312.70, 22.54, 0
29, 101556, 0.65, 315.40, 22.54, 0
30, 101548, 0.85, 262.20, 22.31, 0
31, 101526, 0.40, 244.40, 22.09, 0
33, 101505, 0.25, 284.10, 21.98, 0
35, 101484, 0.75, 252.30, 22.09, 0
37, 101463, 0.85, 239.00, 22.09, 0
38, 101442, 0.75, 255.60, 22.09, 0
40, 101422, 1.75, 284.60, 21.98, 0
42, 101393, 1.60, 277.80, 21.98, 0
45, 101364, 1.70, 279.40, 21.87, 0
47, 101336, 2.40, 285.70, 21.98, 0
48, 101328, 2.15, 287.20, 21.98, 0
48, 101321, 2.10, 291.10, 21.87, 0
49, 101314, 1.75, 284.80, 21.87, 0
51, 101285, 2.15, 279.30, 21.87, 0
54, 101256, 2.35, 286.80, 21.98, 0
56, 101228, 2.20, 285.40, 21.87, 0
58, 101202, 2.45, 270.40, 21.87, 0
60, 101176, 2.55, 291.60, 21.87, 0
63, 101150, 2.40, 268.00, 21.87, 0
64, 101128, 2.75, 258.20, 21.98, 0
66, 101107, 3.00, 281.30, 21.98, 0
68, 101086, 2.85, 267.00, 21.76, 0
70, 101066, 3.05, 264.80, 21.65, 0
71, 101047, 2.65, 273.10, 21.65, 0
73, 101028, 2.75, 257.10, 21.65, 0
75, 100997, 2.70, 269.60, 21.54, 0
78, 100966, 2.90, 279.70, 21.43, 0
80, 100936, 3.05, 264.30, 21.54, 0
84, 100896, 3.70, 264.20, 21.43, 0
87, 100857, 3.50, 252.20, 21.32, 0
90, 100818, 3.30, 237.60, 21.22, 0
91, 100807, 3.75, 241.40, 21.22, 0
92, 100796, 3.70, 245.30, 21.22, 0
93, 100786, 3.10, 244.00, 21.11, 0
95, 100767, 2.40, 238.50, 21.00, 0
96, 100748, 2.65, 247.60, 21.11, 0
98, 100730, 3.15, 239.70, 21.11, 0
99, 100716, 2.80, 229.60, 21.22, 0
100, 100702, 2.70, 240.60, 21.11, 0
101, 100688, 3.20, 249.30, 21.11, 0
102, 100673, 3.50, 259.20, 21.11, 0
104, 100658, 3.45, 260.00, 21.11, 0
105, 100644, 3.95, 259.00, 21.11, 0
106, 100627, 4.30, 257.10, 21.11, 0
108, 100610, 3.50, 252.60, 21.11, 0
109, 100594, 3.65, 258.10, 21.11, 0
110, 100586, 3.50, 250.90, 21.22, 0
111, 100572, 3.35, 250.90, 21.32, 0
112, 100558, 3.45, 248.70, 21.32, 0
112, 100553, 3.10, 252.30, 21.43, 0
113, 100548, 2.95, 251.50, 21.32, 0
113, 100544, 3.20, 245.30, 21.22, 0
114, 100533, 3.25, 253.70, 21.22, 0
115, 100523, 3.75, 257.60, 21.22, 0
116, 100514, 3.25, 246.80, 21.22, 0
116, 100505, 3.10, 254.10, 21.11, 0
117, 100497, 3.20, 251.40, 21.00, 0
118, 100490, 2.80, 237.50, 20.89, 0
119, 100473, 3.25, 250.20, 21.00, 0
121, 100456, 3.25, 243.60, 21.11, 0
122, 100440, 3.25, 241.10, 21.11, 0
123, 100423, 3.40, 256.10, 21.22, 0
125, 100406, 3.05, 245.70, 21.11, 0
126, 100390, 2.90, 231.70, 21.00, 0
127, 100374, 3.55, 259.70, 21.00, 0
129, 100359, 3.60, 249.50, 20.89, 0
130, 100344, 2.90, 242.40, 21.00, 0
131, 100335, 3.00, 261.40, 20.89, 0
131, 100327, 2.85, 250.80, 21.00, 0
132, 100320, 2.45, 241.50, 21.00, 0
134, 100300, 2.55, 261.40, 21.11, 0
135, 100281, 3.40, 265.80, 21.00, 0
137, 100262, 3.10, 256.60, 21.00, 0
137, 100256, 2.95, 263.60, 21.00, 0
