Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
60, 101892, 0.05, 336.90, 16.62, 0
60, 101890, 0.00, 311.60, 16.62, 0
60, 101889, 0.10, 327.20, 16.62, 0
60, 101888, 0.05, 326.10, 16.72, 0
60, 101887, 0.05, 358.90, 17.02, 0
61, 101881, 0.15, 46.10, 17.02, 0
61, 101876, 0.10, 46.80, 17.12, 0
61, 101875, 0.25, 262.80, 18.25, 0
62, 101872, 0.25, 272.60, 18.15, 0
63, 101850, 0.75, 298.20, 17.84, 0
65, 101828, 0.55, 318.90, 18.04, 0
67, 101806, 1.45, 354.90, 18.04, 0
69, 101788, 1.65, 336.20, 18.25, 0
70, 101770, 1.10, 326.00, 18.35, 0
72, 101752, 2.15, 342.20, 18.35, 0
73, 101733, 1.55, 289.60, 18.46, 0
75, 101715, 1.15, 320.20, 18.35, 0
76, 101698, 1.25, 272.70, 18.46, 0
77, 101680, 1.15, 41.00, 18.35, 0
79, 101663, 0.90, 331.00, 18.35, 0
80, 101646, 2.30, 299.60, 18.35, 0
82, 101621, 2.55, 292.90, 18.56, 0
84, 101597, 2.95, 285.30, 18.66, 0
86, 101574, 1.90, 275.80, 18.77, 0
87, 101564, 1.65, 290.70, 18.77, 0
88, 101554, 2.75, 292.20, 18.56, 0
89, 101544, 1.75, 293.50, 18.46, 0
89, 101535, 2.30, 284.90, 18.46, 0
90, 101527, 2.85, 298.90, 18.35, 0
91, 101520, 1.55, 287.00, 18.35, 0
92, 101509, 1.35, 276.30, 18.35, 0
93, 101498, 1.65, 303.00, 18.25, 0
93, 101488, 1.45, 266.20, 18.35, 0
95, 101474, 1.10, 278.20, 18.25, 0
96, 101461, 1.60, 320.00, 18.25, 0
97, 101448, 1.85, 285.50, 18.25, 0
98, 101436, 1.65, 298.00, 18.25, 0
99, 101424, 1.20, 326.40, 18.35, 0
100, 101412, 1.20, 288.00, 18.35, 0
100, 101406, 0.45, 264.60, 18.46, 0
101, 101401, 0.45, 302.70, 18.46, 0
101, 101396, 1.40, 271.60, 18.46, 0
102, 101385, 0.65, 252.60, 18.46, 0
103, 101374, 0.85, 263.00, 18.35, 0
104, 101364, 1.50, 265.00, 18.46, 0
104, 101361, 0.55, 196.40, 18.35, 0
104, 101358, 0.70, 240.50, 18.04, 0
104, 101356, 1.15, 251.80, 18.15, 0
109, 101301, 1.05, 257.90, 18.25, 0
111, 101274, 0.75, 280.10, 18.15, 0
112, 101269, 1.50, 230.80, 18.35, 0
112, 101264, 2.15, 263.80, 18.25, 0
112, 101260, 1.60, 268.00, 18.25, 0
113, 101252, 1.65, 256.80, 18.25, 0
114, 101244, 1.65, 274.70, 18.15, 0
114, 101236, 1.70, 258.30, 18.15, 0
115, 101223, 2.10, 240.00, 18.15, 0
116, 101210, 1.30, 217.90, 18.15, 0
118, 101198, 1.35, 262.50, 18.04, 0
119, 101183, 1.70, 261.30, 18.04, 0
120, 101168, 1.05, 239.60, 18.15, 0
121, 101154, 1.70, 227.40, 18.04, 0
122, 101140, 2.05, 256.70, 18.04, 0
123, 101127, 0.65, 268.00, 18.15, 0
125, 101114, 1.05, 284.00, 18.15, 0
126, 101094, 1.30, 276.30, 18.04, 0
128, 101075, 0.30, 284.10, 18.04, 0
129, 101056, 1.15, 276.80, 18.04, 0
131, 101041, 1.10, 328.90, 18.04, 0
132, 101027, 1.60, 294.80, 17.84, 0
133, 101014, 1.55, 251.00, 17.73, 0
135, 100986, 0.25, 318.40, 17.84, 0
138, 100958, 0.75, 289.90, 17.84, 0
140, 100930, 1.20, 255.60, 17.84, 0
141, 100913, 0.80, 216.90, 17.84, 0
143, 100897, 1.10, 191.30, 17.84, 0
