x1,y1,x2,y2,x3,y3,x4,y4,d1,d2,d3,d4,lat,lon,alt,time_est
148.0,208.0,147.0,208.0,148.0,209.0,147.0,209.0,0.030442118649,0.033498215049,0.104092096649,0.071713504449,37.902092,-122.328393,3222.0,0 days 18:26:17.090909000
148.0,208.0,147.0,208.0,148.0,209.0,147.0,209.0,0.033840259225,0.037633081225,0.099358249225,0.067716938225,37.906233,-122.325615,3326.0,0 days 18:27:51.636364000
148.0,208.0,147.0,208.0,148.0,209.0,147.0,209.0,0.036916697329,0.041541716929,0.094810139329,0.064001653529,37.91013,-122.322477,3430.0,0 days 18:29:26.181818000
148.0,208.0,147.0,208.0,148.0,209.0,147.0,209.0,0.040816225625,0.046091515625,0.089788075625,0.059630350625,37.914657,-122.320025,3533.0,0 days 18:30:59.818182000
148.0,208.0,147.0,208.0,148.0,209.0,147.0,209.0,0.045155008464,0.050863370064,0.084715040464,0.054990713664,37.919407,-122.318392,3637.0,0 days 18:32:34.363636000
148.0,208.0,147.0,208.0,148.0,209.0,147.0,209.0,0.049214304729,0.055219425129,0.080158762729,0.050731418529,37.923745,-122.317273,3738.0,0 days 18:34:06.181818000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.046512176025,0.075231433025,0.059689577025,0.052976903025,37.928162,-122.314605,3842.0,0 days 18:35:40.727273000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.0432521001,0.0708792361,0.0633924681,0.0555884961,37.931755,-122.31049,3945.0,0 days 18:37:14.363636000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.0397822025,0.0659655625,0.0675517225,0.0583050625,37.935717,-122.30505,4048.0,0 days 18:38:48.000000000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.036765143424,0.061510566224,0.071373007824,0.060689494224,37.939283,-122.299632,4149.0,0 days 18:40:19.818182000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.033045660025,0.056095973025,0.076191349025,0.063814003025,37.943725,-122.293245,4271.0,0 days 18:42:10.727273000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.029314995024,0.050583677824,0.081252839424,0.067095205824,37.948303,-122.286532,4377.0,0 days 18:43:47.090909000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.019957780625,0.036686265625,0.094816425625,0.076122015625,37.960227,-122.269425,4677.0,0 days 18:48:19.818182000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.016104662544,0.031821177344,0.099766642944,0.080061025344,37.964732,-122.265612,4789.0,0 days 18:50:01.636364000
147.0,209.0,148.0,209.0,147.0,208.0,148.0,208.0,0.010985245329,0.025696159529,0.106033861929,0.085323401529,37.970528,-122.261823,4908.0,0 days 18:51:49.818182000
147.0,209.0,148.0,209.0,147.0,210.0,148.0,210.0,0.012703516304,0.019224967104,0.116406827904,0.122501759104,37.976582,-122.256452,5008.0,0 days 18:53:20.727273000
