lon,lat,alt
-86.173135,39.787557,208
-86.175493,39.785975,308
-86.176283,39.785438,417
-86.176998,39.785162,525
-86.178515,39.784960,628
-86.179802,39.784697,728
-86.181138,39.784225,835
-86.182350,39.784022,946
-86.183548,39.783688,1050
-86.184665,39.783655,1159
-86.185875,39.783708,1284
-86.187398,39.783597,1387
-86.188940,39.783420,1499
-86.190562,39.783417,1616
-86.192615,39.783417,1718
-86.195067,39.783290,1819
-86.197567,39.783630,1921
-86.201000,39.783828,2025
-86.207300,39.784087,2127
-86.211362,39.784780,2229
-86.215028,39.784572,2330
-86.219113,39.784068,2431
-86.222775,39.783145,2531
-86.225700,39.782042,2632
-86.227327,39.780675,2736
-86.228062,39.779813,2839
-86.229362,39.779120,2943
-86.230037,39.778472,3049
-86.230362,39.778377,3151
-86.230290,39.778623,3257
-86.229320,39.778795,3357
-86.227645,39.779263,3462
-86.225705,39.779605,3567
-86.223715,39.779857,3672
-86.221173,39.780473,3773
-86.217945,39.780965,3875
-86.214423,39.781180,3976
-86.211065,39.780962,4077
-86.206605,39.780867,4184
-86.202407,39.780275,4284
-86.197312,39.779195,4384
-86.192182,39.778005,4491
-86.186055,39.776752,4599
-86.179190,39.775710,4702
-86.172643,39.774685,4809
-86.166520,39.773108,4911
-86.160150,39.771385,5012
-86.153955,39.769695,5113
-86.146912,39.768138,5216
