 Meteorological Profile: 20160519_nam12
 File start time : 16  5 19  0  0
 File ending time: 16  5 19 21  0
 
___________________________________________________ 
 Profile Time:  16  5 19 18  0
 Used Nearest Grid Point ( 413, 208) to Lat:    39.80, Lon:   -85.99
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   993   248  1021     0     0  21.2  33.7  -3.2  -1.0   993   221   286  75.4   1.1   989  3194  27.0   294   864     0     0     0     0     0  24.2     0     0     0   280   8.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.8  -1.0   181  18.8  -4.7  36.2   1.5    292.0  -2.9  -0.9         
   975  -3.5  -1.2   398  16.4  -4.7  38.2   3.2    291.6  -3.5  -1.0         
   950  -4.1  -1.4   617  13.7  -2.9  43.2   3.2    291.1  -4.2  -1.2         
   925  -4.4  -1.6   840  11.3  -2.9  46.0   3.2    290.9  -4.5  -1.3         
   900  -4.6  -1.5  1068   9.2  -2.9  52.0   3.1    291.0  -4.7  -1.2         
   875  -4.8  -1.4  1301   7.1  -3.1  61.5   2.8    291.2  -4.9  -1.1         
   850  -4.9  -1.4  1538   4.8  -2.4  72.3   2.5    291.2  -5.0  -1.1         
   825  -5.7  -1.2  1781   3.0  -1.9  51.3   1.8    291.7  -5.8  -0.8         
   800  -6.5  -1.5  2029   2.6  -1.5  23.1  0.69    293.9  -6.6  -1.0         
   775  -6.2  -2.3  2285   2.2  -1.1  29.0     0    296.1  -6.3  -1.9         
   750  -5.0  -2.7  2549  0.82 -0.76  27.6     0    297.5  -5.2  -2.4         
   725  -3.4  -2.8  2820  0.13     0  20.2     0    299.6  -3.6  -2.6         
   700  -1.6  -2.9  3101 -0.57     0  13.6     0    301.9  -1.7  -2.8         
   650   1.4  -2.4  3689  -3.5  0.22   7.4     0    305.0   1.2  -2.5         
   600   3.3  -2.2  4316  -7.4     0   7.0     0    307.5   3.1  -2.5         
   550   7.1  -3.9  4988 -11.3   2.0   5.0  2E-2    310.7   6.8  -4.3         
   500  11.9  -4.6  5711 -16.5   3.7   5.0  2E-2    312.9  11.5  -5.4         
   450  16.5  -3.6  6495 -21.5   2.1   9.0  2E-2    316.2  16.2  -4.7         
   400  19.6  -2.4  7351 -28.4   1.9  15.0  2E-2    318.1  19.4  -3.7         
   350  23.3  -1.1  8290 -36.7   1.5  22.0  2E-2    319.2  23.1  -2.6         
   300  29.1   1.7  9338 -45.2  0.75  46.0  2E-2    321.6  29.1  -0.2         
   250  37.0   1.6 10530 -53.5   2.4  38.0  2E-2    326.6  37.1  -0.8         
   200  33.7   4.0 11953 -55.3   2.2  22.0  2E-2    345.1  33.9   1.8         
   150  26.7   4.5 13780 -57.3  -1.1   3.0  2E-2    371.4  26.9   2.7         
   100  16.1   5.1 16329 -58.9 -0.99   1.3  2E-2    414.0  16.4   4.0         
    50   5.2   4.0 20666 -57.7  3E-2   1.3  2E-2    507.4   5.5   3.6         
