 alt    temp     wind-dir spd
(m-AGL)  (C)   (°)          (m/s)
  5100   -7.5           329 23.5
  5000   -6.8           330 22.5
  4900   -6.2           331 22.0
  4800   -5.8           336 22.8
  4700   -4.9           341 23.7
  4600   -4.2           342 23.2
  4500   -3.9           341 21.6
  4400   -3.1           340 19.9
  4300   -3.1           342 18.9
  4200   -2.8           344 18.6
  4100   -2.3           346 18.5
  4000   -1.8           344 18.3
  3900   -1.0           342 18.7
  3800   -0.5           341 19.4
  3700    0.1           340 18.5
  3600   -1.0           334 14.2
  3500   -0.6           330 13.1
  3400   -0.4           324 13.2
  3300   -0.4           325 12.6
  3200   -0.5           331 11.6
  3100   -0.2           331 10.0
  3000    0.3           332 8.7
  2900    0.6           332 7.2
  2800    1.0           318 5.4
  2700    1.4           338 4.2
  2600    2.0           346 4.3
  2500    2.6           342 4.8
  2400    2.3           338 4.8
  2300    2.3           349 4.1
  2200    2.4           353 3.4
  2100    3.0           349 3.2
  2000    3.3           355 3.7
  1900    3.6            21 4.4
  1800    4.4            16 4.9
  1700    5.4             2 4.9
  1600    5.9             1 4.6
  1500    6.0           359 4.4
  1400    6.1           350 4.7
  1300    6.7           350 5.2
  1200    7.5           349 5.5
  1100    8.3           348 5.3
  1000    8.7           344 4.5
   900    8.8           332 3.5
   800    8.8           338 2.8
   700    9.4           332 2.6
   600   10.3           337 2.8
   500   11.1           332 3.2
   400   11.6           318 3.5
   300   12.3           314 4.1
   200   13.1           308 4.8
   100   13.8           287 5.2
    10   15.2           291 4.1
