Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
20:26:50, 5, 5, 101628, 0.10, 264.80, 20.89,  ,  , 37.789865, -122.302665, 0.1
20:26:51, 7, 7, 101603, 0.95, 298.60, 20.68,  ,  ,  ,  , 0.3
20:26:52, 9, 9, 101578, 1.15, 327.20, 20.57,  ,  ,  ,  , 0.4
20:26:53, 11, 11, 101554, 2.00, 293.60, 20.46,  ,  , 37.789882, -122.302690, 0.5
20:26:54, 13, 13, 101525, 1.75, 17.70, 20.35,  ,  ,  ,  , 0.7
20:26:55, 16, 16, 101495, 2.50, 350.90, 20.25,  ,  ,  ,  , 0.8
20:26:56, 18, 18, 101466, 1.50, 4.80, 20.14,  ,  , 37.789930, -122.302698, 1.0
20:26:57, 20, 20, 101442, 1.15, 316.00, 20.03,  ,  ,  ,  , 1.1
20:26:58, 22, 22, 101419, 1.35, 0.30, 19.93,  ,  ,  ,  , 1.2
20:26:59, 24, 24, 101396, 1.30, 38.90, 19.82,  ,  , 37.789957, -122.302702, 1.4
20:27:00, 26, 26, 101370, 2.40, 45.20, 19.82,  ,  ,  ,  , 1.7
20:27:01, 28, 28, 101345, 0.85, 293.80, 19.82,  ,  ,  ,  , 1.9
20:27:02, 30, 30, 101320, 1.85, 26.30, 19.82,  ,  , 37.789985, -122.302682, 2.1
20:27:03, 32, 32, 101302, 0.55, 38.50, 19.71,  ,  ,  ,  , 2.1
20:27:04, 33, 33, 101285, 1.40, 10.90, 19.71,  ,  ,  ,  , 2.0
20:27:05, 35, 35, 101268, 1.35, 3.60, 19.61,  ,  , 37.790015, -122.302673, 2.0
20:27:06, 37, 37, 101241, 2.30, 32.10, 19.71,  ,  ,  ,  , 2.0
20:27:07, 39, 39, 101215, 1.25, 328.20, 19.61,  ,  ,  ,  , 1.9
20:27:08, 41, 41, 101190, 2.15, 51.20, 19.71,  ,  , 37.790055, -122.302653, 1.9
20:27:09, 44, 44, 101153, 0.95, 333.30, 19.61,  ,  ,  ,  , 2.0
20:27:10, 47, 47, 101116, 1.60, 30.60, 19.61,  ,  ,  ,  , 2.1
20:27:11, 50, 50, 101080, 0.90, 34.70, 19.61,  ,  , 37.790087, -122.302632, 2.2
20:27:12, 52, 52, 101058, 2.50, 51.70, 19.61,  ,  ,  ,  , 2.2
20:27:13, 54, 54, 101036, 1.40, 78.30, 19.40,  ,  ,  ,  , 2.1
20:27:14, 56, 56, 101014, 2.20, 57.20, 19.29,  ,  , 37.790112, -122.302570, 2.1
20:27:15, 58, 58, 100989, 0.95, 40.20, 19.40,  ,  ,  ,  , 2.2
20:27:16, 60, 60, 100965, 2.25, 43.00, 19.40,  ,  ,  ,  , 2.2
20:27:17, 62, 62, 100942, 1.10, 23.60, 19.29,  ,  , 37.790145, -122.302532, 2.3
20:27:18, 63, 63, 100925, 2.40, 52.40, 19.29,  ,  ,  ,  , 2.2
20:27:19, 65, 65, 100908, 1.65, 17.30, 19.40,  ,  ,  ,  , 2.1
20:27:20, 66, 66, 100892, 2.85, 54.60, 19.40,  ,  , 37.790190, -122.302482, 2.1
20:27:21, 69, 69, 100860, 1.60, 58.30, 19.50,  ,  ,  ,  , 2.1
20:27:22, 71, 71, 100829, 2.35, 70.20, 19.50,  ,  ,  ,  , 2.1
20:27:23, 74, 74, 100798, 1.10, 41.40, 19.50,  ,  , 37.790220, -122.302418, 2.0
20:27:24, 76, 76, 100775, 3.00, 71.20, 19.29,  ,  ,  ,  , 2.0
20:27:25, 78, 78, 100752, 1.60, 7.90, 19.29,  ,  ,  ,  , 2.0
