Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
6, 102276, 0.05, 172.30, 20.14, 0
6, 102275, 0.05, 243.80, 19.93, 0
7, 102272, 0.10, 175.20, 20.03, 0
7, 102270, 0.00, 287.30, 19.50, 0
7, 102268, 0.00, 264.00, 19.82, 0
8, 102258, 0.00, 117.80, 19.40, 0
9, 102245, 0.00, 85.10, 19.19, 0
10, 102232, 0.00, 148.60, 18.87, 0
10, 102231, 0.05, 298.80, 19.40, 0
10, 102226, 0.05, 264.10, 19.08, 0
12, 102209, 0.00, 266.00, 18.98, 0
13, 102192, 0.00, 212.10, 18.66, 0
15, 102176, 0.05, 203.30, 18.04, 0
16, 102154, 0.15, 131.80, 17.53, 0
18, 102133, 1.25, 108.30, 17.33, 0
20, 102112, 1.50, 147.70, 17.02, 0
22, 102088, 5.30, 230.90, 16.92, 0
24, 102065, 6.30, 227.80, 16.62, 0
26, 102042, 6.10, 237.90, 16.41, 0
26, 102040, 3.35, 239.20, 16.62, 0
27, 102022, 3.25, 204.70, 16.51, 0
28, 102008, 3.35, 41.00, 16.51, 0
30, 101995, 5.05, 259.90, 16.41, 0
31, 101982, 6.35, 259.30, 16.51, 0
33, 101958, 4.20, 247.90, 16.41, 0
34, 101935, 4.75, 256.90, 16.41, 0
36, 101912, 5.60, 252.80, 16.31, 0
37, 101901, 5.05, 260.20, 16.41, 0
38, 101890, 5.10, 227.00, 16.31, 0
39, 101880, 5.35, 234.30, 16.41, 0
41, 101861, 4.10, 229.50, 16.41, 0
42, 101842, 4.70, 243.40, 16.31, 0
44, 101824, 5.55, 238.30, 16.41, 0
44, 101819, 6.05, 225.20, 16.31, 0
44, 101815, 5.60, 230.60, 16.21, 0
45, 101812, 5.40, 236.60, 16.11, 0
46, 101791, 4.25, 234.20, 16.11, 0
48, 101770, 4.95, 218.70, 16.01, 0
50, 101750, 5.40, 232.20, 16.01, 0
51, 101737, 4.45, 232.50, 16.01, 0
52, 101724, 4.80, 227.00, 16.01, 0
53, 101712, 3.35, 245.60, 16.01, 0
54, 101698, 5.65, 215.40, 15.91, 0
