Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
55, 101685, 5.05, 217.00, 15.91, 0
56, 101672, 4.20, 226.00, 15.91, 0
57, 101668, 4.25, 220.80, 16.01, 0
57, 101665, 4.80, 222.70, 15.91, 0
57, 101662, 4.05, 228.30, 15.81, 0
59, 101634, 4.05, 235.30, 15.71, 0
62, 101606, 4.05, 256.10, 15.81, 0
64, 101578, 2.25, 236.90, 15.81, 0
68, 101535, 4.75, 246.10, 15.81, 0
71, 101492, 3.50, 260.40, 15.91, 0
75, 101450, 3.55, 260.00, 15.91, 0
77, 101425, 3.30, 271.50, 16.01, 0
78, 101404, 3.45, 263.90, 16.11, 0
80, 101384, 5.10, 238.80, 16.01, 0
81, 101377, 2.60, 255.90, 16.01, 0
81, 101369, 5.00, 234.80, 15.91, 0
82, 101362, 3.90, 246.30, 15.91, 0
84, 101337, 1.55, 272.60, 15.91, 0
86, 101313, 2.40, 238.80, 15.91, 0
88, 101290, 2.35, 247.90, 15.91, 0
91, 101254, 3.20, 247.80, 15.91, 0
94, 101219, 2.40, 257.70, 15.81, 0
97, 101184, 2.00, 259.80, 15.81, 0
98, 101165, 1.65, 303.70, 15.81, 0
100, 101147, 1.90, 276.20, 15.71, 0
101, 101130, 2.75, 265.90, 15.71, 0
103, 101106, 2.15, 316.30, 15.71, 0
105, 101083, 3.00, 285.40, 15.81, 0
107, 101060, 2.55, 307.70, 15.81, 0
110, 101030, 3.00, 278.90, 15.91, 0
112, 101000, 2.25, 263.40, 15.81, 0
115, 100970, 2.95, 291.40, 15.81, 0
118, 100925, 2.30, 290.50, 15.71, 0
120, 100904, 3.50, 292.40, 15.81, 0
122, 100876, 3.10, 262.40, 15.71, 0
125, 100849, 3.55, 303.30, 15.61, 0
127, 100822, 3.65, 277.80, 15.61, 0
129, 100796, 3.65, 299.70, 15.61, 0
131, 100770, 3.85, 279.80, 15.61, 0
133, 100744, 3.50, 264.10, 15.61, 0
136, 100719, 4.90, 295.90, 15.61, 0
138, 100694, 4.10, 277.20, 15.51, 0
140, 100670, 4.20, 290.10, 15.51, 0
142, 100636, 4.05, 275.20, 15.51, 0
145, 100602, 3.20, 274.10, 15.51, 0
148, 100568, 4.75, 264.00, 15.51, 0
151, 100531, 3.25, 265.00, 15.42, 0
154, 100495, 4.05, 276.00, 15.42, 0
157, 100460, 4.25, 267.50, 15.32, 0
158, 100448, 3.60, 291.50, 15.32, 0
159, 100436, 4.60, 270.30, 15.32, 0
160, 100424, 4.70, 274.20, 15.22, 0
162, 100398, 3.80, 277.70, 15.22, 0
165, 100372, 4.10, 273.60, 15.22, 0
167, 100346, 4.60, 274.10, 15.22, 0
169, 100315, 4.35, 269.10, 15.22, 0
172, 100285, 4.20, 273.50, 15.12, 0
174, 100256, 4.20, 275.70, 15.22, 0
177, 100227, 5.00, 262.80, 15.12, 0
179, 100198, 3.45, 273.70, 15.12, 0
181, 100170, 4.40, 260.60, 14.92, 0
184, 100145, 4.10, 271.50, 14.92, 0
186, 100120, 4.55, 269.30, 14.92, 0
188, 100096, 4.35, 267.50, 14.92, 0
190, 100070, 3.40, 281.10, 14.92, 0
192, 100044, 5.20, 263.20, 14.82, 0
194, 100018, 4.10, 273.10, 14.82, 0
196, 99993, 4.40, 267.90, 14.82, 0
198, 99968, 3.90, 264.80, 14.82, 0
200, 99944, 5.20, 271.90, 14.72, 0
203, 99913, 4.85, 273.60, 14.72, 0
206, 99883, 4.85, 274.50, 14.72, 0
208, 99854, 5.20, 274.50, 14.72, 0
214, 99784, 4.25, 253.20, 14.53, 0
216, 99759, 4.95, 269.50, 14.63, 0
218, 99734, 5.45, 262.40, 14.53, 0
220, 99707, 5.00, 266.90, 14.53, 0
222, 99681, 4.75, 253.80, 14.53, 0
225, 99656, 5.20, 257.40, 14.53, 0
227, 99634, 5.50, 264.30, 14.53, 0
228, 99612, 6.25, 253.60, 14.53, 0
230, 99590, 5.60, 267.40, 14.53, 0
232, 99569, 5.40, 255.00, 14.53, 0
234, 99548, 6.15, 275.50, 14.53, 0
235, 99528, 4.65, 263.90, 14.43, 0
237, 99508, 5.45, 257.10, 14.23, 0
239, 99489, 5.40, 276.50, 14.23, 0
240, 99470, 4.05, 275.10, 14.23, 0
243, 99442, 4.80, 277.70, 14.23, 0
245, 99414, 5.10, 273.00, 14.23, 0
247, 99386, 4.55, 265.50, 14.23, 0
258, 99257, 5.30, 262.70, 14.04, 0
260, 99235, 5.25, 286.30, 14.04, 0
262, 99214, 6.95, 271.10, 13.94, 0
264, 99195, 6.60, 284.80, 13.94, 0
265, 99176, 6.65, 279.20, 13.94, 0
267, 99158, 6.10, 291.00, 13.94, 0
268, 99147, 6.00, 302.10, 14.04, 0
268, 99137, 6.70, 279.90, 14.04, 0
269, 99128, 6.35, 292.10, 14.04, 0
270, 99116, 6.65, 41.00, 14.04, 0
271, 99105, 6.65, 277.10, 14.04, 0
272, 99094, 7.35, 288.10, 14.04, 0
273, 99086, 5.75, 285.40, 14.04, 0
273, 99079, 7.65, 279.30, 14.04, 0
274, 99072, 6.25, 285.00, 13.94, 0
274, 99066, 6.05, 286.50, 13.85, 0
275, 99060, 6.50, 292.00, 13.94, 0
276, 99054, 6.10, 282.20, 13.94, 0
276, 99053, 4.65, 268.40, 13.94, 0
276, 99052, 4.80, 275.70, 13.94, 0
276, 99052, 4.85, 283.80, 13.94, 0
276, 99043, 4.20, 279.60, 14.04, 0
277, 99034, 5.20, 280.80, 14.04, 0
278, 99026, 4.60, 267.20, 13.94, 0
278, 99022, 4.65, 269.80, 13.94, 0
279, 99018, 5.35, 281.30, 14.04, 0
279, 99010, 5.80, 279.60, 14.04, 0
280, 99006, 4.20, 281.10, 14.04, 0
280, 99003, 5.15, 288.60, 14.04, 0
280, 99000, 5.80, 280.50, 14.04, 0
282, 98982, 5.15, 284.00, 14.14, 0
282, 98974, 4.70, 264.40, 14.14, 0
283, 98963, 5.30, 283.00, 14.14, 0
284, 98953, 5.75, 278.90, 14.04, 0
285, 98944, 4.10, 277.50, 13.94, 0
285, 98937, 5.20, 276.10, 13.94, 0
286, 98930, 5.50, 269.70, 13.94, 0
287, 98924, 5.25, 280.50, 13.94, 0
287, 98918, 5.90, 271.10, 13.85, 0
287, 98913, 4.15, 278.20, 13.85, 0
288, 98908, 6.05, 287.50, 13.94, 0
288, 98901, 5.20, 272.80, 13.85, 0
289, 98895, 4.80, 274.60, 13.94, 0
289, 98890, 5.20, 266.40, 13.85, 0
293, 98873, 5.45, 284.60, 13.94, 0
294, 98856, 5.35, 274.20, 13.94, 0
296, 98840, 4.45, 270.20, 13.85, 0
296, 98838, 5.95, 283.30, 13.94, 0
296, 98835, 5.25, 262.70, 13.85, 0
296, 98832, 4.85, 271.00, 13.94, 0
296, 98830, 5.65, 277.90, 13.94, 0
297, 98818, 4.45, 266.60, 13.94, 0
298, 98807, 6.25, 271.20, 13.85, 0
299, 98796, 4.70, 271.80, 13.85, 0
300, 98793, 5.65, 279.70, 13.94, 0
300, 98784, 5.40, 276.40, 13.85, 0
301, 98776, 5.40, 285.60, 13.94, 0
303, 98755, 4.70, 283.60, 13.85, 0
305, 98734, 4.95, 285.60, 13.75, 0
306, 98714, 5.60, 289.10, 13.75, 0
307, 98702, 5.40, 275.60, 13.65, 0
308, 98690, 6.20, 281.30, 13.65, 0
309, 98678, 5.85, 287.50, 13.65, 0
310, 98674, 5.55, 288.00, 13.75, 0
310, 98670, 5.15, 282.90, 13.75, 0
310, 98666, 5.60, 286.30, 13.85, 0
312, 98647, 5.55, 282.70, 13.75, 0
313, 98629, 5.25, 283.00, 13.65, 0
315, 98612, 5.90, 289.90, 13.65, 0
316, 98597, 5.50, 283.00, 13.75, 0
317, 98582, 6.50, 286.30, 13.65, 0
319, 98568, 5.75, 286.60, 13.65, 0
320, 98548, 5.80, 270.80, 13.55, 0
322, 98529, 5.90, 289.40, 13.55, 0
324, 98510, 5.60, 284.20, 13.55, 0
325, 98494, 6.05, 275.60, 13.65, 0
326, 98478, 4.60, 267.30, 13.55, 0
328, 98462, 5.40, 267.80, 13.55, 0
330, 98440, 5.40, 265.10, 13.65, 0
331, 98419, 4.45, 275.20, 13.46, 0
333, 98398, 5.50, 279.60, 13.46, 0
334, 98382, 5.20, 276.50, 13.55, 0
336, 98367, 5.10, 279.60, 13.55, 0
337, 98352, 5.35, 273.10, 13.46, 0
339, 98330, 4.45, 280.40, 13.46, 0
341, 98309, 5.90, 268.70, 13.46, 0
343, 98288, 4.70, 275.10, 13.36, 0
344, 98274, 5.60, 280.80, 13.46, 0
345, 98261, 4.85, 267.40, 13.36, 0
346, 98248, 5.05, 279.90, 13.36, 0
348, 98229, 5.50, 274.90, 13.36, 0
349, 98210, 6.15, 279.20, 13.36, 0
351, 98192, 5.85, 275.20, 13.36, 0
352, 98180, 3.55, 272.10, 13.36, 0
353, 98168, 5.10, 270.30, 13.36, 0
354, 98156, 5.10, 272.60, 13.26, 0
355, 98138, 4.90, 290.30, 13.36, 0
357, 98121, 5.05, 266.30, 13.26, 0
358, 98104, 5.00, 281.50, 13.26, 0
360, 98080, 5.20, 283.20, 13.26, 0
362, 98057, 4.45, 278.90, 13.26, 0
364, 98034, 5.00, 281.40, 13.26, 0
366, 98014, 4.70, 270.20, 13.26, 0
367, 97995, 4.45, 283.90, 13.26, 0
369, 97976, 6.10, 277.70, 13.17, 0
371, 97953, 5.00, 273.00, 13.17, 0
373, 97930, 4.90, 288.00, 13.26, 0
375, 97908, 5.10, 269.20, 13.17, 0
376, 97894, 5.20, 280.00, 13.17, 0
377, 97881, 5.55, 275.10, 13.17, 0
378, 97868, 4.55, 275.20, 13.17, 0
381, 97840, 6.10, 279.30, 13.07, 0
383, 97813, 4.75, 273.70, 13.07, 0
385, 97786, 4.95, 286.50, 13.07, 0
387, 97766, 5.15, 275.50, 13.07, 0
389, 97747, 5.20, 267.40, 13.07, 0
390, 97728, 5.85, 283.40, 13.07, 0
393, 97701, 4.25, 279.90, 12.98, 0
395, 97674, 5.75, 276.70, 13.07, 0
397, 97648, 5.40, 279.70, 12.98, 0
398, 97633, 4.95, 286.90, 13.07, 0
400, 97619, 4.95, 273.40, 12.98, 0
401, 97606, 5.65, 285.00, 12.98, 0
402, 97588, 5.80, 278.60, 12.98, 0
404, 97571, 5.10, 280.00, 12.98, 0
405, 97554, 6.25, 282.70, 12.88, 0
408, 97523, 6.00, 275.20, 12.88, 0
410, 97493, 5.40, 285.90, 12.88, 0
413, 97464, 6.30, 282.60, 12.88, 0
414, 97453, 4.55, 277.40, 12.88, 0
415, 97442, 6.55, 267.90, 12.78, 0
416, 97432, 6.15, 275.10, 12.78, 0
417, 97412, 5.45, 285.90, 12.78, 0
419, 97392, 5.30, 277.00, 12.78, 0
421, 97372, 5.45, 284.80, 12.69, 0
423, 97347, 5.55, 277.40, 12.69, 0
425, 97322, 5.85, 283.40, 12.69, 0
427, 97298, 5.40, 284.10, 12.69, 0
429, 97276, 6.00, 271.20, 12.78, 0
431, 97254, 5.40, 274.20, 12.78, 0
433, 97232, 5.15, 280.10, 12.69, 0
433, 97224, 6.50, 270.30, 12.69, 0
434, 97217, 5.60, 271.50, 12.78, 0
435, 97210, 5.95, 259.20, 12.69, 0
436, 97200, 5.40, 278.00, 12.69, 0
436, 97191, 5.90, 257.80, 12.59, 0
437, 97182, 6.00, 262.90, 12.69, 0
439, 97161, 5.55, 261.80, 12.59, 0
441, 97140, 6.50, 265.40, 12.59, 0
442, 97120, 5.35, 269.50, 12.59, 0
443, 97110, 6.05, 258.10, 12.59, 0
444, 97101, 6.10, 272.30, 12.69, 0
445, 97092, 5.80, 257.00, 12.59, 0
446, 97080, 6.80, 271.80, 12.69, 0
447, 97069, 5.75, 271.70, 12.69, 0
448, 97058, 6.40, 260.10, 12.69, 0
450, 97037, 6.35, 269.50, 12.69, 0
451, 97016, 5.95, 257.50, 12.69, 0
453, 96996, 6.20, 270.80, 12.69, 0
455, 96979, 5.80, 268.00, 12.69, 0
456, 96963, 6.65, 258.30, 12.69, 0
457, 96948, 5.25, 269.00, 12.69, 0
458, 96943, 6.00, 264.70, 12.69, 0
458, 96938, 6.25, 268.50, 12.69, 0
458, 96934, 5.35, 260.60, 12.59, 0
460, 96921, 5.95, 271.60, 12.69, 0
461, 96908, 5.95, 263.80, 12.69, 0
462, 96896, 6.35, 260.00, 12.69, 0
463, 96876, 5.75, 275.30, 12.69, 0
465, 96857, 6.10, 264.30, 12.59, 0
467, 96838, 6.75, 266.70, 12.69, 0
468, 96822, 5.25, 266.20, 12.59, 0
469, 96807, 6.90, 268.00, 12.69, 0
471, 96792, 6.20, 267.70, 12.69, 0
472, 96778, 6.45, 256.80, 12.69, 0
473, 96765, 5.90, 274.20, 12.59, 0
474, 96752, 5.80, 258.70, 12.50, 0
475, 96742, 7.10, 274.10, 12.59, 0
476, 96732, 5.80, 263.30, 12.59, 0
477, 96722, 6.00, 257.80, 12.59, 0
479, 96700, 6.15, 272.60, 12.69, 0
481, 96678, 6.20, 260.10, 12.59, 0
482, 96656, 6.20, 264.20, 12.69, 0
487, 96598, 6.15, 266.70, 12.69, 0
488, 96589, 6.00, 255.90, 12.59, 0
489, 96581, 6.00, 41.00, 12.59, 0
490, 96574, 6.30, 256.50, 12.59, 0
491, 96557, 6.60, 264.40, 12.59, 0
492, 96540, 5.45, 266.10, 12.69, 0
494, 96524, 6.10, 267.20, 12.59, 0
495, 96510, 6.35, 272.60, 12.59, 0
496, 96497, 6.35, 263.30, 12.59, 0
497, 96484, 6.75, 261.40, 12.69, 0
500, 96451, 5.30, 265.80, 12.59, 0
503, 96419, 6.75, 270.30, 12.59, 0
506, 96388, 5.95, 268.60, 12.59, 0
507, 96369, 5.95, 264.90, 12.59, 0
509, 96350, 6.90, 269.70, 12.59, 0
510, 96332, 6.10, 268.40, 12.59, 0
512, 96310, 5.85, 259.10, 12.50, 0
514, 96289, 5.70, 271.50, 12.59, 0
516, 96268, 6.60, 265.70, 12.59, 0
517, 96258, 6.35, 266.70, 12.50, 0
518, 96249, 5.45, 270.00, 12.50, 0
518, 96240, 6.15, 260.80, 12.50, 0
520, 96218, 5.90, 272.30, 12.50, 0
522, 96197, 6.75, 263.40, 12.59, 0
524, 96176, 6.05, 269.80, 12.59, 0
526, 96155, 5.50, 270.50, 12.69, 0
527, 96135, 7.10, 265.00, 12.59, 0
529, 96116, 5.65, 270.10, 12.50, 0
531, 96090, 5.75, 270.50, 12.40, 0
534, 96065, 6.45, 272.40, 12.40, 0
536, 96040, 5.20, 264.60, 12.40, 0
538, 96018, 6.85, 270.30, 12.40, 0
539, 95997, 5.70, 271.70, 12.40, 0
541, 95976, 5.95, 261.20, 12.40, 0
542, 95969, 6.30, 275.30, 12.40, 0
542, 95963, 6.05, 266.40, 12.40, 0
543, 95958, 6.50, 264.60, 12.40, 0
544, 95942, 4.95, 275.70, 12.50, 0
546, 95927, 6.30, 268.80, 12.50, 0
547, 95912, 6.05, 274.50, 12.50, 0
549, 95892, 5.45, 260.00, 12.50, 0
550, 95872, 6.10, 280.40, 12.40, 0
552, 95852, 5.25, 260.00, 12.40, 0
560, 95766, 5.65, 271.90, 12.21, 0
561, 95745, 5.55, 264.30, 12.21, 0
563, 95724, 6.20, 268.50, 12.21, 0
564, 95715, 5.45, 271.50, 12.21, 0
565, 95706, 6.85, 268.90, 12.21, 0
565, 95698, 4.55, 275.00, 12.21, 0
567, 95678, 6.00, 262.40, 12.21, 0
569, 95659, 6.20, 272.70, 12.31, 0
571, 95640, 5.15, 272.40, 12.31, 0
577, 95562, 5.75, 270.70, 12.21, 0
579, 95543, 5.25, 262.80, 12.12, 0
581, 95524, 5.65, 274.10, 12.12, 0
582, 95507, 5.45, 268.40, 12.12, 0
584, 95490, 6.75, 264.30, 12.02, 0
585, 95474, 5.55, 265.80, 12.02, 0
586, 95457, 5.55, 265.40, 12.02, 0
588, 95440, 6.60, 273.70, 12.02, 0
589, 95424, 4.95, 266.20, 12.02, 0
590, 95411, 5.60, 270.60, 12.02, 0
591, 95399, 6.00, 275.50, 12.02, 0
593, 95388, 5.25, 260.30, 11.93, 0
594, 95365, 5.40, 274.40, 11.93, 0
596, 95342, 5.45, 271.40, 11.93, 0
598, 95320, 5.75, 266.80, 11.93, 0
600, 95307, 5.85, 275.10, 11.93, 0
601, 95294, 5.85, 259.60, 11.93, 0
602, 95282, 6.55, 269.70, 11.83, 0
603, 95269, 5.85, 41.00, 11.83, 0
604, 95256, 6.05, 278.20, 11.83, 0
605, 95244, 6.20, 281.90, 11.83, 0
607, 95223, 5.25, 261.70, 11.83, 0
609, 95203, 5.95, 274.60, 11.83, 0
610, 95184, 5.85, 277.20, 11.83, 0
611, 95172, 5.65, 269.90, 11.74, 0
612, 95161, 6.25, 286.30, 11.83, 0
613, 95150, 6.00, 275.70, 11.74, 0
614, 95136, 6.40, 269.00, 11.74, 0
616, 95123, 5.85, 279.70, 11.74, 0
617, 95110, 5.35, 270.00, 11.83, 0
619, 95089, 5.60, 272.80, 11.83, 0
620, 95068, 6.25, 280.00, 11.83, 0
622, 95048, 5.90, 273.60, 11.64, 0
624, 95028, 5.75, 284.80, 11.64, 0
626, 95008, 5.95, 271.20, 11.64, 0
627, 94988, 5.50, 278.50, 11.64, 0
641, 94836, 4.90, 277.30, 11.64, 0
642, 94821, 6.30, 275.10, 11.55, 0
643, 94806, 6.10, 273.70, 11.55, 0
644, 94804, 5.95, 275.10, 11.55, 0
644, 94804, 4.45, 281.40, 11.55, 0
645, 94792, 6.10, 280.90, 11.55, 0
646, 94781, 5.70, 269.50, 11.55, 0
647, 94770, 5.85, 283.80, 11.55, 0
648, 94759, 6.20, 283.40, 11.55, 0
648, 94748, 5.05, 279.00, 11.55, 0
649, 94738, 6.25, 281.20, 11.55, 0
651, 94721, 6.10, 285.40, 11.55, 0
652, 94704, 4.85, 281.50, 11.55, 0
654, 94688, 6.65, 287.40, 11.55, 0
655, 94674, 6.10, 276.90, 11.55, 0
656, 94661, 5.60, 283.90, 11.64, 0
657, 94648, 6.95, 284.00, 11.64, 0
658, 94638, 5.85, 284.10, 11.64, 0
659, 94628, 5.85, 283.30, 11.64, 0
660, 94618, 6.85, 286.50, 11.64, 0
661, 94609, 5.25, 281.00, 11.64, 0
661, 94600, 6.55, 282.50, 11.64, 0
662, 94592, 6.40, 287.40, 11.64, 0
664, 94570, 5.25, 277.20, 11.64, 0
666, 94549, 7.05, 293.10, 11.64, 0
668, 94528, 6.30, 282.50, 11.64, 0
669, 94510, 6.25, 290.20, 11.93, 0
670, 94498, 7.60, 285.20, 11.93, 0
671, 94492, 5.80, 285.30, 11.93, 0
672, 94486, 7.10, 282.80, 12.02, 0
672, 94480, 7.20, 294.70, 12.12, 0
672, 94476, 6.15, 284.20, 12.02, 0
673, 94473, 7.50, 291.50, 12.12, 0
673, 94470, 6.15, 294.80, 12.12, 0
674, 94461, 7.45, 284.80, 12.21, 0
674, 94452, 7.45, 293.00, 12.21, 0
675, 94444, 6.35, 290.40, 12.12, 0
676, 94430, 7.70, 289.20, 12.12, 0
678, 94417, 7.40, 291.40, 12.21, 0
679, 94404, 7.40, 284.10, 12.21, 0
679, 94402, 7.65, 293.50, 12.21, 0
679, 94401, 7.35, 284.70, 12.21, 0
679, 94400, 8.40, 290.30, 12.12, 0
679, 94395, 7.05, 293.90, 12.21, 0
680, 94390, 8.65, 286.20, 12.31, 0
680, 94386, 7.75, 294.40, 12.40, 0
681, 94381, 7.15, 283.30, 12.50, 0
681, 94376, 8.85, 292.50, 12.50, 0
682, 94372, 7.40, 293.50, 12.59, 0
682, 94368, 8.15, 285.30, 12.59, 0
682, 94365, 7.75, 295.50, 12.59, 0
682, 94362, 7.50, 286.70, 12.59, 0
684, 94348, 8.25, 288.70, 12.59, 0
685, 94335, 7.05, 289.40, 12.50, 0
686, 94322, 8.20, 289.60, 12.50, 0
686, 94319, 7.75, 292.70, 12.50, 0
686, 94316, 8.10, 283.20, 12.50, 0
687, 94314, 7.10, 293.20, 12.50, 0
687, 94306, 7.85, 288.90, 12.50, 0
688, 94299, 8.10, 288.50, 12.50, 0
689, 94292, 6.95, 289.50, 12.40, 0
689, 94288, 8.50, 288.80, 12.40, 0
689, 94285, 7.60, 290.10, 12.40, 0
689, 94282, 7.35, 284.00, 12.31, 0
690, 94276, 7.95, 293.70, 12.40, 0
691, 94270, 7.45, 286.10, 12.40, 0
691, 94264, 7.80, 287.80, 12.50, 0
691, 94259, 7.35, 289.70, 12.50, 0
692, 94255, 8.50, 284.00, 12.50, 0
692, 94252, 7.45, 286.70, 12.50, 0
694, 94234, 7.15, 284.60, 12.50, 0
695, 94217, 8.25, 289.20, 12.50, 0
697, 94200, 7.50, 277.60, 12.50, 0
697, 94198, 7.55, 289.80, 12.50, 0
697, 94196, 7.45, 287.50, 12.50, 0
697, 94194, 8.40, 280.30, 12.59, 0
697, 94192, 7.20, 290.70, 12.59, 0
698, 94190, 7.05, 284.60, 12.59, 0
698, 94188, 8.55, 285.30, 12.59, 0
699, 94176, 7.20, 285.60, 12.59, 0
700, 94165, 8.75, 284.70, 12.59, 0
701, 94154, 7.65, 288.10, 12.59, 0
701, 94147, 7.75, 278.50, 12.59, 0
702, 94140, 7.70, 288.70, 12.59, 0
703, 94134, 7.10, 284.40, 12.59, 0
703, 94132, 8.90, 281.70, 12.59, 0
703, 94131, 7.55, 281.20, 12.59, 0
703, 94130, 7.25, 279.60, 12.59, 0
703, 94127, 8.75, 284.20, 12.59, 0
703, 94124, 7.55, 280.50, 12.59, 0
704, 94122, 8.10, 278.10, 12.59, 0
704, 94115, 7.85, 287.50, 12.59, 0
705, 94108, 8.25, 277.20, 12.50, 0
705, 94102, 8.20, 285.20, 12.59, 0
706, 94096, 7.70, 279.00, 12.50, 0
706, 94091, 8.70, 281.60, 12.59, 0
707, 94086, 7.10, 280.80, 12.69, 0
708, 94069, 7.90, 282.20, 12.78, 0
710, 94052, 7.20, 289.20, 12.78, 0
711, 94036, 8.05, 278.00, 12.78, 0
712, 94027, 8.45, 288.10, 12.78, 0
713, 94018, 7.10, 278.10, 12.78, 0
713, 94010, 8.00, 285.30, 12.69, 0
714, 94004, 8.05, 287.90, 12.88, 0
714, 93999, 8.25, 282.40, 12.88, 0
715, 93994, 7.40, 291.70, 12.98, 0
716, 93984, 8.80, 281.60, 12.98, 0
717, 93975, 8.15, 288.30, 12.98, 0
717, 93966, 7.05, 289.60, 12.98, 0
718, 93954, 8.40, 286.20, 12.98, 0
719, 93943, 7.75, 288.30, 12.98, 0
720, 93932, 8.75, 281.00, 12.98, 0
721, 93921, 8.05, 297.50, 12.98, 0
722, 93911, 8.10, 287.40, 13.07, 0
723, 93902, 8.95, 287.10, 13.07, 0
724, 93894, 7.55, 295.80, 13.07, 0
724, 93886, 9.15, 290.00, 13.07, 0
725, 93878, 8.20, 288.70, 13.07, 0
726, 93865, 7.50, 293.70, 13.07, 0
727, 93853, 9.80, 293.00, 13.07, 0
728, 93842, 8.20, 291.80, 13.07, 0
729, 93835, 8.55, 288.90, 12.88, 0
729, 93829, 8.30, 299.60, 12.98, 0
730, 93824, 8.65, 286.30, 12.98, 0
731, 93812, 8.30, 294.00, 12.88, 0
732, 93801, 7.65, 296.00, 12.88, 0
733, 93790, 9.35, 290.30, 12.88, 0
734, 93780, 8.30, 298.10, 12.88, 0
735, 93771, 8.35, 290.00, 12.88, 0
735, 93762, 8.75, 293.10, 12.88, 0
736, 93754, 7.90, 301.30, 12.98, 0
737, 93748, 9.35, 294.70, 13.07, 0
737, 93742, 8.75, 296.20, 13.07, 0
738, 93731, 8.05, 288.50, 13.07, 0
739, 93720, 8.85, 299.70, 13.07, 0
740, 93710, 7.80, 294.80, 13.07, 0
741, 93697, 9.85, 293.50, 13.07, 0
742, 93684, 8.20, 296.70, 13.07, 0
743, 93672, 7.90, 291.40, 12.88, 0
745, 93656, 9.30, 300.10, 12.88, 0
746, 93641, 8.00, 291.50, 12.78, 0
747, 93626, 9.35, 292.50, 12.69, 0
748, 93614, 8.05, 299.00, 12.78, 0
749, 93603, 8.95, 290.20, 12.59, 0
750, 93592, 9.50, 304.70, 12.69, 0
751, 93587, 8.00, 296.20, 12.69, 0
751, 93582, 9.85, 295.80, 12.78, 0
752, 93578, 8.55, 301.20, 12.88, 0
754, 93554, 8.70, 290.80, 12.88, 0
756, 93531, 8.85, 302.90, 12.88, 0
758, 93508, 8.65, 300.50, 12.88, 0
759, 93496, 9.40, 295.50, 12.78, 0
760, 93485, 8.45, 303.80, 12.88, 0
761, 93474, 8.60, 298.20, 12.88, 0
763, 93452, 9.55, 298.90, 12.88, 0
765, 93430, 8.45, 300.60, 12.88, 0
767, 93408, 9.45, 293.40, 12.88, 0
768, 93394, 8.15, 305.30, 12.88, 0
769, 93380, 9.05, 297.30, 12.98, 0
770, 93366, 9.35, 302.40, 13.07, 0
772, 93351, 7.85, 301.80, 12.98, 0
773, 93337, 9.05, 297.20, 12.88, 0
774, 93324, 9.35, 302.30, 12.88, 0
777, 93296, 7.90, 301.30, 12.78, 0
779, 93269, 9.60, 303.10, 12.88, 0
781, 93242, 8.05, 297.00, 12.78, 0
786, 93190, 7.95, 297.90, 12.88, 0
787, 93176, 9.20, 298.40, 12.88, 0
789, 93162, 8.90, 302.80, 12.98, 0
790, 93144, 8.60, 291.80, 12.88, 0
792, 93127, 9.00, 306.20, 12.88, 0
793, 93110, 8.45, 298.10, 12.78, 0
795, 93091, 9.40, 297.50, 12.69, 0
