 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 18  0
 Used Nearest Grid Point ( 413, 207) to Lat:    39.69, Lon:   -86.00
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   993   240  1021     0     0  19.3  44.6  -2.7  -3.4   993   371   239  60.7  0.28   981  3463  23.6   289   744     0     0     0     0     0  24.2     0  44.0     0   280   7.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.6  -3.1   180  17.4  -2.8  45.1   1.2    290.6  -2.8  -2.9         
   975  -3.2  -3.6   396  15.1  -1.9  48.1   2.9    290.4  -3.4  -3.4         
   950  -3.9  -4.0   615  12.4  -1.7  54.1   3.1    289.8  -4.1  -3.7         
   925  -4.4  -4.1   837   9.8  -1.9  57.5   3.0    289.4  -4.7  -3.8         
   900  -4.5  -4.3  1063   7.6  -1.6  65.4   3.0    289.4  -4.8  -4.0         
   875  -4.5  -4.5  1295   5.7     0  74.7   2.7    289.7  -4.8  -4.2         
   850  -4.5  -4.6  1531   3.4     0  83.9   2.4    289.7  -4.8  -4.3         
   825  -5.0  -4.9  1773   1.9     0  75.1   2.0    290.6  -5.3  -4.6         
   800  -5.4  -5.2  2020  0.71 -0.72  65.3   1.3    291.9  -5.8  -4.9         
   775  -4.6  -5.3  2274 -0.43     0  66.1  0.39    293.4  -4.9  -5.0         
   750  -3.4  -4.8  2536  -2.1  0.57  71.0     0    294.3  -3.7  -4.6         
   725  -1.9  -3.9  2804  -3.6  0.66  66.6     0    295.6  -2.2  -3.8         
   700  0.30  -3.1  3081  -5.1     0  50.1     0    296.9   0.1  -3.1         
   650   5.9  -2.5  3660  -6.4 -0.68   8.0     0    301.7   5.7  -2.9         
   600   9.9  -1.4  4283  -8.6  0.58   6.0     0    306.2   9.8  -2.0         
   550  12.4 -0.21  4951 -13.0  0.65   5.0  2E-2    308.7  12.3  -1.0         
   500  17.8   1.6  5671 -16.9  0.65   3.0  2E-2    312.4  17.8   0.4         
   450  25.3   4.8  6455 -21.3  0.69   4.0  2E-2    316.5  25.6   3.1         
   400  28.0   6.7  7311 -28.1   2.0  22.0  2E-2    318.5  28.4   4.8         
   350  28.2   8.6  8252 -36.3   1.6  21.0  2E-2    319.9  28.7   6.7         
   300  29.6   9.4  9302 -45.1  0.51  34.0  2E-2    321.8  30.2   7.4         
   250  36.4   7.4 10496 -52.1  0.45  27.0  2E-2    328.6  36.8   5.0         
   200  32.1   8.3 11929 -54.6 -0.43   3.0  2E-2    346.4  32.5   6.2         
   150  23.8   5.6 13769 -54.6  0.15     0  2E-2    376.0  24.1   4.0         
   100  16.2   2.7 16337 -59.0 -0.19   1.3  2E-2    413.8  16.3   1.6         
    50   5.6   2.0 20668 -57.3 -0.53   1.4  2E-2    508.4   5.7   1.6         
