 alt    temp     wind-dir spd
(m-AGL)  (C)   (°)          (m/s)
  3800    2.3           199 3.8
  3700    2.9           202 5.2
  3600    3.7           213 5.9
  3500    3.2           226 4.5
  3400    3.3           238 4.0
  3300    4.2           238 3.4
  3200    5.1           226 2.1
  3100    5.8           215 1.4
  3000    6.4           214 1.6
  2900    7.0           220 2.0
  2800    7.7           221 2.4
  2700    8.5           216 2.8
  2600    9.3           216 3.3
  2500    9.8           231 3.8
  2400    8.8           257 3.8
  2300    8.6           277 3.3
  2200    9.4           280 2.4
  2100   10.3           285 1.5
  2000   10.0           318 1.0
  1900   10.8           299 0.8
  1800   11.7           274 1.1
  1700   12.5           235 1.7
  1600   12.8           195 2.3
  1500   12.6           211 2.8
  1400   12.8           206 3.1
  1300   13.2           168 3.4
  1200   13.0           172 4.1
  1100   12.5           160 5.3
  1000   13.1           154 6.6
   900   14.0           152 7.2
   800   13.7           141 6.4
   700   12.5           140 4.2
   600   13.4            64 1.7
   500   14.3             4 0.4
   400   15.2           136 0.7
   300   16.2            36 1.4
   200   17.2            24 0.9
   100   18.2            25 1.3
    10   19.1           332 0.9
