Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
3, 102218, 0.30, 340.50, 22.87, 0
3, 102217, 0.20, 41.00, 22.87, 0
3, 102216, 0.05, 331.90, 23.10, 0
3, 102214, 0.10, 335.90, 23.21, 0
3, 102212, 0.05, 334.90, 23.55, 0
3, 102210, 0.05, 311.90, 23.66, 0
3, 102208, 0.05, 300.40, 23.55, 0
4, 102200, 0.10, 66.20, 21.98, 0
4, 102198, 1.60, 162.80, 19.82, 0
5, 102188, 1.75, 151.80, 19.71, 0
6, 102179, 0.65, 134.50, 19.61, 0
7, 102170, 1.50, 147.00, 19.61, 0
8, 102150, 1.80, 134.60, 19.61, 0
10, 102131, 1.10, 148.50, 19.61, 0
11, 102112, 2.15, 159.70, 19.61, 0
12, 102099, 1.30, 150.20, 19.61, 0
13, 102086, 1.40, 176.40, 19.50, 0
15, 102074, 1.50, 166.30, 19.40, 0
15, 102064, 1.10, 153.10, 19.40, 0
16, 102055, 2.20, 157.70, 19.50, 0
17, 102046, 1.40, 169.30, 19.61, 0
22, 101983, 1.45, 154.60, 19.50, 0
25, 101952, 1.10, 160.40, 19.50, 0
25, 101944, 2.45, 154.50, 19.50, 0
26, 101937, 1.55, 161.00, 19.50, 0
26, 101930, 2.15, 165.70, 19.40, 0
27, 101923, 2.35, 153.80, 19.40, 0
28, 101916, 1.55, 161.20, 19.50, 0
28, 101910, 2.00, 158.40, 19.40, 0
31, 101873, 1.55, 170.40, 19.50, 0
34, 101837, 0.40, 161.50, 19.50, 0
37, 101802, 1.20, 154.10, 19.50, 0
39, 101783, 1.50, 161.80, 19.40, 0
39, 101774, 1.80, 165.20, 19.40, 0
42, 101736, 1.45, 174.60, 19.29, 0
44, 101718, 1.90, 204.20, 19.29, 0
45, 101701, 0.35, 237.10, 19.29, 0
47, 101684, 1.15, 154.80, 19.29, 0
48, 101668, 1.05, 183.50, 19.29, 0
50, 101650, 1.20, 144.00, 19.40, 0
51, 101633, 1.15, 165.70, 19.40, 0
52, 101616, 1.60, 199.80, 19.40, 0
55, 101590, 0.75, 206.30, 19.40, 0
57, 101564, 1.05, 218.40, 19.29, 0
59, 101538, 1.10, 181.30, 19.29, 0
60, 101527, 0.90, 185.20, 19.19, 0
61, 101517, 1.35, 206.30, 19.19, 0
61, 101508, 0.70, 189.00, 19.29, 0
64, 101472, 0.85, 227.10, 19.19, 0
67, 101437, 0.80, 154.60, 19.19, 0
70, 101402, 0.80, 162.70, 19.08, 0
72, 101379, 0.80, 245.00, 19.08, 0
74, 101357, 0.80, 217.30, 19.08, 0
76, 101336, 0.65, 240.10, 19.08, 0
77, 101324, 0.85, 171.30, 19.08, 0
78, 101313, 1.05, 195.40, 19.08, 0
79, 101302, 1.35, 226.70, 19.08, 0
81, 101272, 1.40, 193.90, 19.08, 0
83, 101242, 1.30, 233.00, 19.08, 0
86, 101212, 1.45, 213.10, 18.98, 0
88, 101188, 0.70, 167.50, 18.98, 0
90, 101165, 0.70, 209.70, 18.98, 0
92, 101142, 0.80, 234.80, 18.87, 0
94, 101115, 1.10, 205.50, 18.87, 0
96, 101088, 1.55, 219.10, 18.87, 0
98, 101062, 1.00, 199.50, 18.87, 0
101, 101035, 1.30, 188.90, 18.87, 0
103, 101008, 0.80, 182.60, 18.87, 0
105, 100982, 1.20, 187.80, 18.87, 0
107, 100956, 1.15, 224.30, 18.87, 0
109, 100931, 0.40, 186.50, 18.77, 0
111, 100906, 1.25, 194.50, 18.77, 0
113, 100883, 0.80, 203.40, 18.66, 0
115, 100860, 1.55, 160.00, 18.66, 0
117, 100838, 2.20, 220.80, 18.66, 0
119, 100816, 2.15, 198.60, 18.56, 0
121, 100795, 1.70, 201.10, 18.56, 0
122, 100774, 1.25, 200.20, 18.56, 0
126, 100733, 1.55, 194.60, 18.56, 0
127, 100714, 2.00, 209.60, 18.46, 0
129, 100697, 1.65, 217.50, 18.46, 0
130, 100680, 2.30, 199.70, 18.35, 0
132, 100664, 1.95, 203.40, 18.35, 0
134, 100638, 1.55, 198.90, 18.35, 0
136, 100613, 1.85, 204.50, 18.35, 0
138, 100588, 1.40, 207.70, 18.35, 0
139, 100572, 1.45, 217.80, 18.25, 0
141, 100557, 1.90, 213.70, 18.25, 0
142, 100542, 1.35, 179.60, 18.35, 0
144, 100512, 1.35, 219.30, 18.25, 0
147, 100483, 1.45, 223.80, 18.25, 0
149, 100454, 1.70, 218.90, 18.25, 0
150, 100450, 1.80, 233.50, 18.25, 0
150, 100447, 1.25, 189.80, 18.25, 0
150, 100444, 0.85, 230.00, 18.25, 0
153, 100411, 1.90, 243.90, 18.25, 0
156, 100378, 1.90, 208.20, 18.25, 0
158, 100346, 1.60, 248.60, 18.15, 0
159, 100340, 1.90, 232.50, 18.15, 0
159, 100335, 1.60, 216.10, 18.15, 0
160, 100330, 0.65, 284.30, 18.15, 0
161, 100319, 1.10, 209.90, 18.04, 0
161, 100308, 1.05, 222.20, 18.04, 0
162, 100298, 0.15, 159.00, 18.04, 0
163, 100285, 0.75, 201.20, 18.04, 0
164, 100272, 0.70, 186.50, 18.04, 0
165, 100260, 0.70, 147.30, 18.04, 0
167, 100242, 0.40, 157.20, 18.04, 0
168, 100225, 0.70, 176.30, 18.04, 0
170, 100208, 1.05, 196.40, 18.04, 0
170, 100201, 1.15, 164.90, 18.04, 0
171, 100194, 1.85, 177.00, 18.04, 0
172, 100188, 0.90, 183.60, 18.15, 0
173, 100170, 1.20, 186.10, 18.04, 0
174, 100153, 1.25, 178.10, 18.04, 0
176, 100136, 1.10, 173.70, 17.94, 0
177, 100123, 1.50, 210.50, 17.94, 0
178, 100110, 1.15, 192.90, 17.94, 0
179, 100098, 1.60, 181.70, 17.94, 0
181, 100075, 1.55, 207.10, 17.94, 0
183, 100051, 1.10, 178.20, 17.94, 0
185, 100028, 0.85, 198.30, 17.94, 0
185, 100024, 1.10, 203.50, 17.84, 0
186, 100020, 1.70, 199.50, 17.84, 0
186, 100016, 1.35, 207.70, 17.84, 0
188, 99986, 0.50, 184.90, 17.94, 0
191, 99958, 1.05, 213.60, 17.94, 0
