Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
153, 100212, 4.85, 117.10, 14.23, 0
154, 100202, 5.20, 112.20, 14.23, 0
155, 100192, 5.30, 118.50, 14.14, 0
155, 100182, 5.00, 112.30, 14.14, 0
156, 100173, 5.35, 118.50, 14.04, 0
157, 100164, 4.80, 118.00, 14.04, 0
158, 100150, 5.00, 115.80, 14.04, 0
159, 100137, 5.60, 120.00, 14.23, 0
160, 100124, 5.20, 115.50, 14.23, 0
162, 100103, 5.55, 120.30, 14.33, 0
164, 100082, 5.15, 120.10, 14.23, 0
166, 100062, 4.75, 116.40, 14.23, 0
166, 100061, 5.35, 124.50, 14.23, 0
167, 100048, 5.15, 116.60, 14.14, 0
168, 100036, 5.25, 120.10, 14.23, 0
169, 100025, 5.05, 120.70, 14.23, 0
169, 100015, 5.30, 119.10, 14.23, 0
170, 100006, 5.20, 121.80, 14.23, 0
172, 99984, 5.00, 117.00, 14.23, 0
174, 99962, 5.05, 120.90, 14.23, 0
176, 99940, 5.05, 120.80, 14.23, 0
176, 99937, 5.50, 118.50, 14.23, 0
176, 99934, 5.50, 129.90, 14.23, 0
176, 99932, 4.85, 118.30, 14.23, 0
177, 99924, 5.15, 120.00, 14.14, 0
178, 99916, 5.60, 117.40, 14.23, 0
178, 99908, 5.70, 114.80, 14.23, 0
179, 99901, 5.35, 119.60, 14.23, 0
180, 99894, 5.45, 122.70, 14.23, 0
180, 99888, 4.40, 121.10, 14.23, 0
181, 99874, 5.15, 125.10, 14.04, 0
182, 99861, 5.70, 120.90, 14.04, 0
183, 99848, 4.65, 124.00, 14.14, 0
184, 99841, 5.35, 115.70, 14.14, 0
185, 99835, 5.35, 119.80, 14.14, 0
185, 99830, 5.60, 127.00, 14.14, 0
187, 99805, 5.30, 124.20, 14.04, 0
189, 99780, 5.05, 127.40, 14.04, 0
191, 99756, 5.50, 120.80, 14.04, 0
192, 99749, 5.15, 120.10, 14.14, 0
192, 99742, 5.00, 122.50, 14.04, 0
193, 99736, 5.00, 123.00, 14.04, 0
193, 99733, 5.25, 128.60, 14.04, 0
193, 99730, 5.40, 121.00, 14.04, 0
194, 99728, 4.50, 120.00, 14.04, 0
194, 99717, 4.85, 119.60, 14.04, 0
195, 99706, 4.35, 122.40, 14.04, 0
196, 99696, 4.60, 126.40, 14.04, 0
197, 99688, 5.15, 124.50, 14.04, 0
198, 99680, 4.70, 130.20, 14.04, 0
198, 99672, 5.25, 125.70, 14.04, 0
199, 99667, 5.25, 118.80, 14.04, 0
199, 99662, 4.65, 124.10, 13.94, 0
199, 99658, 4.75, 125.20, 13.94, 0
201, 99644, 4.65, 123.60, 13.94, 0
202, 99633, 4.55, 128.00, 14.04, 0
203, 99622, 4.40, 123.90, 14.04, 0
204, 99602, 4.70, 128.60, 13.94, 0
206, 99577, 5.20, 122.90, 14.04, 0
208, 99552, 4.70, 125.20, 13.94, 0
210, 99533, 4.55, 118.60, 13.85, 0
211, 99524, 4.65, 129.60, 13.94, 0
211, 99521, 5.10, 126.60, 13.94, 0
211, 99518, 4.50, 127.10, 13.94, 0
211, 99516, 4.85, 131.60, 13.94, 0
212, 99507, 4.15, 125.60, 13.94, 0
213, 99498, 4.30, 130.30, 13.94, 0
214, 99490, 4.35, 124.80, 13.94, 0
216, 99456, 4.20, 126.10, 13.94, 0
218, 99440, 4.30, 119.30, 13.94, 0
219, 99423, 4.00, 131.70, 13.94, 0
221, 99406, 4.70, 125.90, 13.85, 0
222, 99390, 4.40, 127.10, 13.85, 0
224, 99371, 4.05, 127.60, 13.85, 0
225, 99352, 4.05, 119.10, 13.85, 0
227, 99334, 4.90, 131.70, 13.85, 0
227, 99327, 4.75, 124.50, 13.85, 0
228, 99320, 5.05, 129.60, 13.75, 0
229, 99314, 5.25, 132.00, 13.85, 0
229, 99304, 4.95, 129.50, 13.75, 0
230, 99295, 4.65, 140.40, 13.75, 0
231, 99286, 4.40, 141.70, 13.75, 0
232, 99275, 5.10, 131.20, 13.85, 0
233, 99264, 5.10, 130.20, 13.75, 0
234, 99254, 4.40, 128.20, 13.75, 0
235, 99234, 4.65, 132.40, 13.75, 0
237, 99215, 4.20, 138.40, 13.65, 0
238, 99196, 4.85, 135.70, 13.65, 0
239, 99186, 3.95, 137.70, 13.65, 0
241, 99170, 4.35, 136.40, 13.65, 0
242, 99154, 4.65, 133.90, 13.65, 0
243, 99142, 3.85, 128.80, 13.65, 0
244, 99131, 4.45, 130.80, 13.65, 0
245, 99120, 4.05, 133.50, 13.55, 0
246, 99103, 3.95, 133.20, 13.65, 0
248, 99087, 4.80, 135.10, 13.65, 0
249, 99072, 4.00, 132.30, 13.55, 0
250, 99058, 4.20, 128.90, 13.55, 0
251, 99045, 3.90, 131.30, 13.55, 0
252, 99032, 3.90, 135.30, 13.55, 0
254, 99012, 4.25, 138.20, 13.55, 0
256, 98993, 4.00, 137.50, 13.55, 0
257, 98974, 4.60, 139.60, 13.55, 0
258, 98965, 4.25, 136.00, 13.46, 0
259, 98957, 3.95, 130.10, 13.46, 0
259, 98950, 4.10, 139.30, 13.46, 0
260, 98939, 3.60, 136.70, 13.55, 0
261, 98928, 4.00, 137.50, 13.55, 0
262, 98918, 3.80, 142.70, 13.46, 0
263, 98907, 4.40, 135.30, 13.46, 0
264, 98896, 4.45, 143.20, 13.46, 0
265, 98886, 4.00, 141.60, 13.55, 0
266, 98868, 4.70, 134.30, 13.46, 0
268, 98851, 3.95, 134.90, 13.46, 0
269, 98834, 3.95, 135.70, 13.46, 0
270, 98824, 4.15, 136.90, 13.46, 0
271, 98815, 3.40, 139.80, 13.46, 0
272, 98806, 4.15, 135.00, 13.46, 0
273, 98785, 4.15, 132.30, 13.46, 0
275, 98765, 3.65, 134.20, 13.36, 0
277, 98746, 4.70, 143.80, 13.46, 0
277, 98743, 3.45, 141.70, 13.46, 0
277, 98740, 4.05, 138.60, 13.46, 0
277, 98738, 4.50, 138.40, 13.46, 0
278, 98725, 4.40, 136.80, 13.36, 0
279, 98713, 4.20, 138.10, 13.26, 0
280, 98702, 3.50, 138.50, 13.36, 0
282, 98678, 3.80, 127.90, 13.46, 0
284, 98655, 3.80, 136.90, 13.46, 0
286, 98632, 4.20, 129.60, 13.36, 0
287, 98628, 3.65, 139.70, 13.26, 0
287, 98621, 4.00, 129.80, 13.26, 0
288, 98614, 3.60, 130.00, 13.26, 0
289, 98603, 3.80, 133.20, 13.26, 0
290, 98592, 4.20, 130.00, 13.26, 0
291, 98582, 3.65, 143.00, 13.26, 0
293, 98557, 4.30, 130.10, 13.26, 0
295, 98532, 3.85, 130.30, 13.26, 0
297, 98508, 3.85, 136.90, 13.17, 0
297, 98506, 4.05, 133.50, 13.26, 0
297, 98505, 3.50, 138.10, 13.26, 0
297, 98504, 3.70, 131.30, 13.26, 0
299, 98478, 3.95, 129.40, 13.26, 0
302, 98453, 3.75, 135.70, 13.26, 0
304, 98428, 3.65, 122.80, 13.26, 0
304, 98424, 3.65, 130.20, 13.17, 0
304, 98420, 4.25, 129.70, 13.17, 0
305, 98416, 4.30, 138.90, 13.17, 0
305, 98411, 3.70, 141.70, 13.17, 0
305, 98406, 3.70, 123.70, 13.17, 0
306, 98402, 3.35, 132.10, 13.17, 0
307, 98390, 4.40, 139.20, 13.17, 0
308, 98378, 4.15, 136.50, 13.17, 0
309, 98366, 3.80, 141.40, 13.07, 0
311, 98344, 3.90, 139.30, 13.17, 0
313, 98323, 4.20, 144.20, 13.07, 0
314, 98302, 4.80, 143.40, 13.07, 0
315, 98299, 3.55, 142.30, 13.07, 0
316, 98285, 3.90, 136.00, 13.07, 0
317, 98272, 4.35, 137.80, 13.07, 0
318, 98265, 3.80, 154.60, 13.07, 0
318, 98258, 3.40, 141.30, 13.07, 0
319, 98252, 3.00, 123.20, 13.07, 0
320, 98238, 3.35, 132.50, 13.07, 0
321, 98225, 3.35, 41.00, 12.98, 0
322, 98212, 3.60, 143.30, 13.07, 0
324, 98192, 4.20, 138.60, 12.98, 0
325, 98182, 3.50, 134.60, 12.98, 0
326, 98165, 3.65, 138.60, 12.98, 0
327, 98148, 3.15, 134.60, 12.98, 0
329, 98132, 3.70, 141.40, 12.88, 0
330, 98121, 4.10, 139.40, 12.98, 0
331, 98107, 3.85, 134.20, 12.88, 0
332, 98094, 4.75, 147.40, 12.98, 0
332, 98090, 4.05, 141.40, 12.98, 0
333, 98087, 3.70, 139.70, 12.98, 0
333, 98084, 4.25, 137.60, 12.88, 0
335, 98060, 3.90, 135.10, 12.88, 0
337, 98037, 4.05, 140.00, 12.88, 0
339, 98014, 3.80, 137.40, 12.88, 0
340, 98007, 4.30, 146.80, 12.88, 0
340, 98000, 6.30, 148.70, 12.88, 0
341, 97994, 5.80, 144.90, 12.88, 0
341, 97990, 5.10, 140.50, 12.88, 0
341, 97986, 4.65, 128.90, 12.98, 0
342, 97982, 3.80, 130.60, 12.88, 0
343, 97971, 4.25, 133.20, 12.88, 0
343, 97961, 4.30, 134.10, 12.88, 0
344, 97952, 3.85, 138.70, 12.78, 0
349, 97902, 4.30, 140.90, 12.88, 0
349, 97901, 3.80, 142.40, 12.88, 0
