lon,lat,alt
-86.169730,39.706363,221
-86.170425,39.707380,322
-86.172458,39.708310,424
-86.177483,39.708660,527
-86.184557,39.709870,629
-86.187497,39.709870,731
-86.189332,39.710175,831
-86.191188,39.710768,931
-86.193283,39.711067,1033
-86.195287,39.711240,1143
-86.198030,39.711243,1251
-86.200773,39.710487,1351
-86.203498,39.709507,1453
-86.205823,39.708248,1554
-86.207663,39.707625,1655
-86.210332,39.707512,1759
-86.221760,39.705430,1859
-86.231248,39.703765,1960
-86.245757,39.700077,2060
-86.265652,39.696405,2259
-86.279947,39.694992,2359
-86.287888,39.693413,2459
-86.292287,39.692520,2559
-86.296662,39.690920,2667
-86.299107,39.689792,2768
-86.300803,39.688455,2868
-86.303128,39.687762,2972
-86.304550,39.686922,3073
-86.305622,39.685165,3181
-86.308220,39.683225,3281
-86.308198,39.683058,3386
-86.306037,39.684482,3486
-86.302363,39.685868,3590
-86.298902,39.687360,3693
-86.295438,39.688517,3794
-86.292163,39.689313,3896
-86.287527,39.689845,4003
-86.281432,39.689853,4104
-86.273405,39.689535,4204
-86.265767,39.688217,4306
-86.256620,39.686557,4408
-86.245308,39.684430,4515
-86.235130,39.683283,4619
-86.225245,39.682175,4719
-86.212552,39.680832,4821
-86.200400,39.677887,4922
-86.186002,39.673303,5043
-86.167830,39.666792,5163
