 alt    temp   hum  wind-dir spd
(m-AGL)  (C)   (%)  (°)          (m/s)
  5000   -8.8    1      291 8.2
  4900   -7.6    2      294 8.0
  4800   -8.0    1      294 8.7
  4700   -7.2    2      289 7.8
  4600   -6.6    2      281 7.5
  4500   -4.9    2      276 7.4
  4400   -5.4    1      277 6.8
  4300   -4.6    1      281 6.1
  4200   -4.4    1      284 5.6
  4100   -4.2    1      282 5.3
  4000   -3.8    2      277 4.6
  3900   -2.3    2      271 3.9
  3800   -2.4    3      266 3.3
  3700   -1.7    3      259 3.1
  3600   -1.2    3      251 3.1
  3500   -0.8    4      243 2.9
  3400   -0.2    5      242 2.4
  3300    1.3    4      244 1.8
  3200    1.7    5      231 1.4
  3100    2.1    5        5 1.3
  3000    2.3    6       45 1.5
  2900    2.4    7       23 1.7
  2800    3.1    6       53 1.7
  2700    3.9    5       75 1.6
  2600    4.2    4       39 1.6
  2500    4.1    4       60 1.9
  2400    3.7    7       65 2.9
  2300    3.6   16       72 4.3
  2200    3.9   17       77 5.9
  2100    3.9   24       83 7.1
  2000    4.3   23       82 7.7
  1900    5.2   24       78 7.8
  1800    3.7   62       74 7.8
  1700    3.8   58       73 7.9
  1600    4.9   56       83 8.3
  1500    6.2   52       86 8.4
  1400    7.2   50       68 7.9
  1300    7.9   47       54 7.5
  1200    8.9   45       63 9.4
  1100    9.9   43       63 8.3
  1000   10.8   41       90 8.0
   900   11.7   39       90 7.3
   800   12.8   37      106 7.1
   700   13.8   36      111 6.7
   600   14.7   35      109 5.7
   500   15.5   33       97 5.7
   400   16.4   31       98 7.4
   300   17.2   30      101 6.0
   200   18.5   28      104 5.7
   100   19.6   28      139 3.5
    10   21.5   27       91 1.4
