x1,y1,x2,y2,x3,y3,x4,y4,d1,d2,d3,d4,lat,lon,alt,time_est
411.0,207.0,410.0,207.0,411.0,206.0,410.0,206.0,0.021184367204,0.038327316804,0.085933152804,0.092075621604,39.683058,-86.308198,3386.0,0 days 19:59:09.000000000
411.0,207.0,410.0,207.0,411.0,206.0,410.0,206.0,0.019632360369,0.037369152769,0.087267611769,0.094003058969,39.684482,-86.306037,3486.0,0 days 20:00:49.000000000
411.0,207.0,410.0,207.0,411.0,206.0,410.0,206.0,0.018050168769,0.036796576369,0.088522817369,0.096266410169,39.685868,-86.302363,3590.0,0 days 20:02:33.000000000
411.0,207.0,410.0,207.0,411.0,206.0,410.0,206.0,0.016398045604,0.036095536004,0.089916300004,0.098609591204,39.68736,-86.298902,3693.0,0 days 20:04:16.000000000
411.0,207.0,410.0,207.0,411.0,206.0,410.0,206.0,0.015104771844,0.035754169444,0.090998685444,0.100642498244,39.688517,-86.295438,3794.0,0 days 20:05:57.000000000
411.0,207.0,410.0,207.0,411.0,206.0,410.0,206.0,0.014202003569,0.035751371169,0.091746212169,0.102288684969,39.689313,-86.292163,3896.0,0 days 20:07:39.000000000
411.0,207.0,410.0,207.0,411.0,206.0,410.0,206.0,0.013555540729,0.036378881129,0.092246270129,0.104060861329,39.689845,-86.287527,4003.0,0 days 20:09:26.000000000
411.0,207.0,410.0,207.0,411.0,206.0,410.0,206.0,0.013462460624,0.037960707024,0.092277681024,0.105764740224,39.689853,-86.281432,4104.0,0 days 20:11:07.000000000
411.0,207.0,412.0,207.0,411.0,206.0,412.0,206.0,0.013781769025,0.024608572025,0.092103870025,0.114261882025,39.689535,-86.273405,4204.0,0 days 20:12:47.000000000
411.0,207.0,412.0,207.0,411.0,206.0,412.0,206.0,0.015220663289,0.023950071489,0.091042720689,0.111104865489,39.688217,-86.265767,4306.0,0 days 20:14:29.000000000
411.0,207.0,412.0,207.0,411.0,206.0,412.0,206.0,0.0171789744,0.0233966164,0.0898438484,0.1073960564,39.686557,-86.25662,4408.0,0 days 20:16:11.000000000
411.0,207.0,412.0,207.0,411.0,206.0,412.0,206.0,0.019906324864,0.023017691664,0.088518552464,0.102966747664,39.68443,-86.245308,4515.0,0 days 20:17:58.000000000
411.0,207.0,412.0,207.0,411.0,206.0,412.0,206.0,0.0218122169,0.0221287049,0.0883116129,0.0999669649,39.683283,-86.23513,4619.0,0 days 20:19:42.000000000
412.0,207.0,411.0,207.0,412.0,206.0,411.0,206.0,0.021457652025,0.023855585025,0.097257842025,0.088314934025,39.682175,-86.225245,4719.0,0 days 20:21:22.000000000
412.0,207.0,411.0,207.0,412.0,206.0,411.0,206.0,0.020802811904,0.026686242704,0.094145475904,0.088685527104,39.680832,-86.212552,4821.0,0 days 20:23:04.000000000
412.0,207.0,411.0,207.0,412.0,206.0,411.0,206.0,0.02213704,0.03135741,0.08980844,0.087683,39.677887,-86.2004,4922.0,0 days 20:24:45.000000000
412.0,207.0,411.0,207.0,412.0,206.0,411.0,206.0,0.025194823204,0.038368884004,0.083957387204,0.085782758404,39.673303,-86.186002,5043.0,0 days 20:26:46.000000000
412.0,207.0,411.0,207.0,412.0,206.0,411.0,206.0,0.0303714169,0.0485355089,0.0764390769,0.0832508449,39.666792,-86.16783,5163.0,0 days 20:28:46.000000000
