x1,y1,x2,y2,x3,y3,x4,y4,d1,d2,d3,d4,lat,lon,alt,time_est
150.0,209.0,151.0,209.0,150.0,208.0,151.0,208.0,0.013025037009,0.042232873809,0.093012387209,0.087286953409,38.025135,-121.919303,8.0,0 days 18:48:05.000000000
150.0,209.0,151.0,209.0,150.0,208.0,151.0,208.0,0.014429692969,0.044350400169,0.091384368769,0.086371268569,38.023547,-121.921987,109.0,0 days 18:49:36.818182000
150.0,209.0,151.0,209.0,150.0,208.0,151.0,208.0,0.0142028724,0.0446529204,0.0914639744,0.0869798164,38.023647,-121.92398,210.0,0 days 18:51:08.636364000
150.0,209.0,151.0,209.0,150.0,208.0,151.0,208.0,0.011250108944,0.046223856144,0.093806719744,0.093842854544,38.02584,-121.941012,310.0,0 days 18:52:39.545455000
150.0,209.0,151.0,209.0,150.0,208.0,151.0,208.0,0.010729103025,0.046694335025,0.094349056025,0.095375929025,38.026272,-121.944745,413.0,0 days 18:54:13.181818000
150.0,209.0,151.0,209.0,150.0,208.0,151.0,208.0,0.010841770529,0.048155719329,0.094354888729,0.096729462929,38.026083,-121.949823,516.0,0 days 18:55:46.818182000
150.0,209.0,151.0,209.0,150.0,208.0,151.0,208.0,0.010838150544,0.049370937744,0.094554321344,0.098146816144,38.026062,-121.954412,617.0,0 days 18:57:18.636364000
150.0,209.0,149.0,209.0,150.0,208.0,149.0,208.0,0.008831687889,0.027585883089,0.097299660089,0.126293868489,38.028165,-121.964633,717.0,0 days 18:58:49.545455000
150.0,209.0,149.0,209.0,150.0,208.0,149.0,208.0,0.00584348864401,0.028905741444,0.101148869444,0.128040307044,38.031372,-121.972562,820.0,0 days 19:00:23.181818000
150.0,209.0,149.0,209.0,150.0,208.0,149.0,208.0,0.003174629649,0.030508168849,0.104611385849,0.129956442249,38.034282,-121.978393,924.0,0 days 19:01:57.727273000
150.0,209.0,149.0,209.0,150.0,210.0,149.0,210.0,0.000776584369004,0.032391451569,0.104563007569,0.101148542169,38.036837,-121.981513,1026.0,0 days 19:03:30.454545000
150.0,209.0,149.0,209.0,150.0,210.0,149.0,210.0,0.00351954214399,0.034523369344,0.101857225344,0.097705164944,38.03955,-121.984288,1128.0,0 days 19:05:03.181818000
150.0,209.0,149.0,209.0,150.0,210.0,149.0,210.0,0.00654502336399,0.036733458564,0.099048154564,0.094080088164,38.042385,-121.987358,1228.0,0 days 19:06:34.090909000
150.0,209.0,149.0,209.0,150.0,210.0,149.0,210.0,0.00916465439999,0.0384070224,0.0967268624,0.0908120164,38.04476,-121.99092,1332.0,0 days 19:08:08.636364000
